ID,item_cnt_month
0,2.0
1,1.0
2,0.0
3,2.0
4,0.0
5,2.0
6,10.0
7,1.0
8,5.0
9,1.0
10,3.0
11,5.0
12,5.0
13,3.0
14,1.0
15,1.0
16,1.0
17,3.0
18,1.0
19,5.0
20,1.0
21,2.0
22,1.0
23,1.0
24,1.0
25,2.0
26,1.0
27,3.0
28,2.0
29,1.0
30,2.0
31,1.0
32,1.0
33,1.0
34,3.0
35,1.0
36,2.0
37,2.0
38,4.0
39,5.0
40,6.0
41,2.0
42,1.0
43,3.0
44,2.0
45,3.0
46,3.0
47,2.0
48,2.0
49,0.0
50,2.0
51,2.0
52,9.0
53,10.0
54,-0.0
55,0.0
56,-0.0
57,1.0
58,1.0
59,1.0
60,1.0
61,-0.0
62,0.0
63,1.0
64,0.0
65,1.0
66,2.0
67,1.0
68,1.0
69,3.0
70,1.0
71,3.0
72,1.0
73,5.0
74,2.0
75,3.0
76,2.0
77,1.0
78,6.0
79,3.0
80,1.0
81,1.0
82,2.0
83,2.0
84,2.0
85,1.0
86,0.0
87,2.0
88,1.0
89,-0.0
90,7.0
91,1.0
92,0.0
93,1.0
94,1.0
95,1.0
96,2.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,2.0
104,1.0
105,1.0
106,7.0
107,1.0
108,1.0
109,1.0
110,2.0
111,2.0
112,1.0
113,0.0
114,1.0
115,1.0
116,0.0
117,1.0
118,-0.0
119,1.0
120,1.0
121,2.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,0.0
132,1.0
133,0.0
134,0.0
135,1.0
136,1.0
137,1.0
138,2.0
139,1.0
140,1.0
141,1.0
142,1.0
143,0.0
144,1.0
145,1.0
146,2.0
147,1.0
148,1.0
149,2.0
150,1.0
151,1.0
152,1.0
153,2.0
154,0.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,2.0
169,8.0
170,8.0
171,1.0
172,1.0
173,1.0
174,2.0
175,15.0
176,2.0
177,2.0
178,3.0
179,1.0
180,1.0
181,2.0
182,1.0
183,1.0
184,2.0
185,1.0
186,1.0
187,-0.0
188,1.0
189,1.0
190,1.0
191,6.0
192,1.0
193,2.0
194,2.0
195,2.0
196,1.0
197,1.0
198,1.0
199,2.0
200,1.0
201,1.0
202,-0.0
203,1.0
204,1.0
205,1.0
206,3.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,0.0
213,2.0
214,1.0
215,1.0
216,0.0
217,-0.0
218,1.0
219,1.0
220,2.0
221,2.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,0.0
229,1.0
230,1.0
231,1.0
232,3.0
233,1.0
234,1.0
235,1.0
236,1.0
237,0.0
238,1.0
239,1.0
240,1.0
241,20.0
242,1.0
243,1.0
244,2.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,3.0
260,1.0
261,1.0
262,2.0
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,2.0
269,2.0
270,1.0
271,3.0
272,1.0
273,1.0
274,2.0
275,1.0
276,1.0
277,1.0
278,1.0
279,2.0
280,2.0
281,2.0
282,2.0
283,2.0
284,1.0
285,0.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,0.0
292,1.0
293,1.0
294,1.0
295,2.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,0.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,5.0
312,2.0
313,0.0
314,1.0
315,1.0
316,1.0
317,2.0
318,4.0
319,2.0
320,2.0
321,1.0
322,2.0
323,1.0
324,1.0
325,2.0
326,0.0
327,2.0
328,0.0
329,1.0
330,0.0
331,3.0
332,0.0
333,1.0
334,2.0
335,1.0
336,1.0
337,2.0
338,1.0
339,1.0
340,1.0
341,3.0
342,0.0
343,0.0
344,1.0
345,2.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,2.0
354,1.0
355,2.0
356,5.0
357,2.0
358,4.0
359,0.0
360,1.0
361,1.0
362,3.0
363,3.0
364,2.0
365,-0.0
366,0.0
367,1.0
368,1.0
369,5.0
370,2.0
371,1.0
372,1.0
373,4.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,0.0
381,1.0
382,2.0
383,3.0
384,2.0
385,1.0
386,0.0
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,1.0
393,1.0
394,2.0
395,1.0
396,1.0
397,2.0
398,3.0
399,2.0
400,1.0
401,0.0
402,2.0
403,1.0
404,2.0
405,5.0
406,4.0
407,5.0
408,0.0
409,1.0
410,1.0
411,0.0
412,1.0
413,20.0
414,1.0
415,1.0
416,1.0
417,3.0
418,1.0
419,1.0
420,1.0
421,3.0
422,1.0
423,3.0
424,2.0
425,1.0
426,1.0
427,1.0
428,0.0
429,1.0
430,1.0
431,2.0
432,2.0
433,1.0
434,1.0
435,1.0
436,2.0
437,1.0
438,2.0
439,2.0
440,1.0
441,2.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,2.0
449,1.0
450,1.0
451,0.0
452,6.0
453,-0.0
454,1.0
455,1.0
456,6.0
457,1.0
458,1.0
459,0.0
460,0.0
461,1.0
462,1.0
463,0.0
464,1.0
465,3.0
466,2.0
467,2.0
468,3.0
469,5.0
470,7.0
471,1.0
472,1.0
473,1.0
474,1.0
475,3.0
476,2.0
477,1.0
478,0.0
479,0.0
480,1.0
481,8.0
482,1.0
483,9.0
484,4.0
485,1.0
486,1.0
487,2.0
488,1.0
489,-0.0
490,0.0
491,2.0
492,2.0
493,3.0
494,0.0
495,-0.0
496,1.0
497,1.0
498,1.0
499,0.0
500,1.0
501,2.0
502,2.0
503,1.0
504,2.0
505,3.0
506,2.0
507,1.0
508,1.0
509,1.0
510,1.0
511,0.0
512,0.0
513,1.0
514,0.0
515,1.0
516,1.0
517,3.0
518,1.0
519,1.0
520,1.0
521,1.0
522,1.0
523,1.0
524,1.0
525,1.0
526,2.0
527,-0.0
528,0.0
529,2.0
530,1.0
531,1.0
532,1.0
533,1.0
534,1.0
535,1.0
536,1.0
537,0.0
538,1.0
539,1.0
540,1.0
541,1.0
542,1.0
543,0.0
544,0.0
545,0.0
546,1.0
547,0.0
548,0.0
549,-0.0
550,1.0
551,2.0
552,1.0
553,3.0
554,2.0
555,1.0
556,1.0
557,1.0
558,0.0
559,0.0
560,1.0
561,1.0
562,1.0
563,1.0
564,1.0
565,1.0
566,1.0
567,1.0
568,3.0
569,2.0
570,1.0
571,3.0
572,1.0
573,2.0
574,1.0
575,1.0
576,2.0
577,1.0
578,1.0
579,1.0
580,2.0
581,1.0
582,1.0
583,2.0
584,4.0
585,1.0
586,0.0
587,1.0
588,3.0
589,-0.0
590,0.0
591,2.0
592,0.0
593,1.0
594,1.0
595,2.0
596,2.0
597,2.0
598,1.0
599,1.0
600,1.0
601,0.0
602,2.0
603,1.0
604,2.0
605,1.0
606,0.0
607,-0.0
608,2.0
609,2.0
610,3.0
611,6.0
612,1.0
613,8.0
614,1.0
615,1.0
616,1.0
617,1.0
618,1.0
619,1.0
620,1.0
621,1.0
622,1.0
623,1.0
624,5.0
625,3.0
626,3.0
627,4.0
628,4.0
629,4.0
630,2.0
631,1.0
632,1.0
633,1.0
634,2.0
635,1.0
636,1.0
637,0.0
638,1.0
639,1.0
640,1.0
641,1.0
642,1.0
643,1.0
644,1.0
645,1.0
646,1.0
647,3.0
648,1.0
649,1.0
650,0.0
651,0.0
652,4.0
653,1.0
654,1.0
655,3.0
656,1.0
657,1.0
658,1.0
659,1.0
660,1.0
661,1.0
